ID;NOME;CLASSIFICACAO;QTD_UNTRD
432307066;SETD FUNIL;4. Transporte/Manobra;0
18520452;SESD JUNQUEIRA;2. Distribuição Satélite;337
10385943;SETD ALVORADA;1. Distribuição Plena;697
432328516;SETD VULCAN;4. Transporte/Manobra;0
10385961;SETD BAEPENDI;1. Distribuição Plena;559
18520461;SETD ARI FRANCO;1. Distribuição Plena;1230
10385970;SETD SANTO ANTONIO;1. Distribuição Plena;474
432333038;SETD UFEM;4. Transporte/Manobra;0
10385979;SETD URUGUAI;1. Distribuição Plena;618
10385988;SETD ITAPEBA;1. Distribuição Plena;998
449886789;SETD INFLUENCIA;3. Transformadora Pura;0
450101398;SETD PACIENCIA;1. Distribuição Plena;1067
18520470;SETD VOLTA REDONDA;1. Distribuição Plena;1054
453768618;SETR GLOBO;4. Transporte/Manobra;0
455138316;SESD MANGUARIBA;2. Distribuição Satélite;5
10385997;SETD SAMARITANO;1. Distribuição Plena;229
18520479;SETD PADRE MIGUEL;1. Distribuição Plena;1102
457474244;SETD GARDENIA;1. Distribuição Plena;499
18520488;SETD CAMARA;1. Distribuição Plena;1413
457701774;SESD CARAMUJOS;2. Distribuição Satélite;143
18520497;SESD KENEDY;2. Distribuição Satélite;139
461733896;SEMT INTEGRAÇÃO;4. Transporte/Manobra;0
18520506;SESD CANANEIA;2. Distribuição Satélite;48
10386006;SETD RIO COMPRIDO;1. Distribuição Plena;804
18520515;SESD SAO FRANCISCO;2. Distribuição Satélite;164
469239770;SETD PCH PARACAMBI;4. Transporte/Manobra;0
18520929;SETD INMETRO;1. Distribuição Plena;812
473714081;SETD AIR LIQUIDE - MESSER;4. Transporte/Manobra;0
10386015;SETD CAMERINO;1. Distribuição Plena;460
484023983;SETR METRO BARRA;4. Transporte/Manobra;0
18520938;SESD SANTANESIA;2. Distribuição Satélite;267
488045000;SEMT NOVA IGUAÇU;4. Transporte/Manobra;0
18520956;SESD TEOFILO;2. Distribuição Satélite;294
10386060;SETD SÃO CONRADO;1. Distribuição Plena;480
497739010;SESD VILA AMERICANA;2. Distribuição Satélite;342
10386069;SETD SANTA LUZIA;1. Distribuição Plena;272
